epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2519,2.98665,6.55375,3.75504,2.33101,0,0.00233,0.10294,0.00146,0.00034,0.00033,0.01471,0.00017,2e-05,2.43584,5.73455,3.66135,1.91152,0,4e-05,4e-05,4e-05
2,27.9663,2.4059,4.87044,3.63773,1.89786,0,0.00567,0.25,0.01906,0.00401,0.001,0.04412,0.00054,0.00018,2.11914,3.97023,3.56979,1.71195,0,9.901e-05,9.901e-05,9.901e-05
3,41.4511,2.25356,3.99446,3.2724,1.74528,0,0.00767,0.33824,0.10728,0.03502,0.00167,0.07353,0.01594,0.00325,1.87138,3.40799,3.36211,1.58549,0,0.000156832,0.000156832,0.000156832
4,54.5969,1.94071,3.30059,2.92058,1.43593,0,0.00867,0.38235,0.10148,0.02372,0.004,0.17647,0.00294,0.00084,1.89033,2.89021,3.39543,1.65436,0,0.000213466,0.000213466,0.000213466
5,68.8988,1.71576,3.07819,2.58595,1.27957,0,0.13143,0.22059,0.10527,0.03224,0.005,0.22059,0.00369,0.00129,1.78907,2.84586,3.25377,2.00761,0,0.000268912,0.000268912,0.000268912
6,84.7575,1.69119,2.74514,2.07991,1.27235,0,0.0955,0.23529,0.12882,0.04007,0.00667,0.29412,0.00526,0.00132,1.77236,2.9225,3.18671,2.11904,0,0.00032317,0.00032317,0.00032317
7,100.584,1.65507,2.44339,1.91742,1.2159,0,0.01333,0.58824,0.0937,0.03522,0.01033,0.45588,0.01129,0.00298,1.58083,2.84535,3.12749,1.59148,0,0.00037624,0.00037624,0.00037624
8,115.149,1.47128,2.19844,2.03936,1.15341,0,0.01667,0.73529,0.10085,0.03905,0.01433,0.63235,0.03219,0.00849,1.455,2.5608,3.02814,1.43906,0,0.000428122,0.000428122,0.000428122
9,130.651,1.43651,2.107,1.94594,1.18839,0,0.016,0.70588,0.15202,0.05857,0.01433,0.63235,0.05,0.0155,1.38821,2.40591,3.03028,1.30909,0,0.000478816,0.000478816,0.000478816
10,145.391,1.57136,2.23498,1.94149,1.33599,0,0.06847,0.26471,0.12778,0.04641,0.014,0.61765,0.04508,0.01138,1.46052,2.49175,3.01942,1.38439,0,0.000528322,0.000528322,0.000528322
11,160.442,1.45366,2.08712,1.697,1.13287,0,0.16104,0.20588,0.11695,0.047,0.0853,0.13235,0.05824,0.01674,1.44111,2.52144,3.02474,1.33009,0,0.00057664,0.00057664,0.00057664
12,175.621,1.51655,2.11369,1.60428,1.15544,0,0.02925,0.66176,0.10541,0.04242,0.04454,0.14706,0.06791,0.02578,1.42704,2.27211,2.98456,1.33373,0,0.00062377,0.00062377,0.00062377
13,191.417,1.57865,2.08236,1.61608,1.17312,0,0.14324,0.23529,0.12274,0.04422,0.09916,0.16176,0.08503,0.02786,1.41919,2.28126,2.85144,1.28934,0,0.000669712,0.000669712,0.000669712
14,207.741,1.41076,2.17034,1.50428,1.15979,0,0.18546,0.19118,0.12582,0.04755,0.14364,0.13235,0.08086,0.0232,1.41576,2.04058,2.91237,1.2919,0,0.000714466,0.000714466,0.000714466
15,223.838,1.33558,1.98883,1.62817,1.10764,0,0.23145,0.16176,0.13303,0.05294,0.10612,0.08824,0.03154,0.00739,1.38484,2.58564,3.04698,1.30338,0,0.000758032,0.000758032,0.000758032
16,238.873,1.60956,1.94208,2.07483,1.18092,0,0.28349,0.19202,0.1411,0.05523,0.12385,0.10294,0.03388,0.00799,1.42606,2.9639,3.09174,1.34818,0,0.00080041,0.00080041,0.00080041
17,255.173,1.60222,2.19632,1.71271,1.182,0,0.34094,0.17647,0.13659,0.04482,0.11906,0.13235,0.04154,0.00995,1.49796,2.67967,3.11094,1.57169,0,0.0008416,0.0008416,0.0008416
18,273.001,1.43662,1.93642,1.55552,1.17029,0,0.37031,0.13235,0.15312,0.05151,0.0937,0.13235,0.04915,0.01487,1.4527,2.6932,3.17483,1.60709,0,0.000881602,0.000881602,0.000881602
19,290.334,1.42858,1.58643,2.33348,1.25791,0,0.19794,0.17647,0.13409,0.04704,0.17695,0.05882,0.04584,0.01394,1.42317,2.60562,2.9146,1.4429,0,0.000920416,0.000920416,0.000920416
20,306.005,1.58704,2.06008,1.67632,1.21149,0,0.2234,0.11765,0.13351,0.05021,0.04517,0.11765,0.0576,0.01882,1.38295,2.55875,2.60188,1.33967,0,0.000958042,0.000958042,0.000958042
21,318.637,1.32818,1.69786,1.47614,1.11915,0,0.11605,0.19118,0.17738,0.07563,0.06531,0.11765,0.08665,0.03108,1.33726,2.5541,2.42387,1.29165,0,0.00099448,0.00099448,0.00099448
22,331.619,1.41824,1.96511,1.48528,1.15951,0,0.20093,0.20588,0.19786,0.08183,0.11428,0.13235,0.09737,0.03437,1.29758,2.33092,2.42752,1.24578,0,0.00102973,0.00102973,0.00102973
23,344.121,1.36184,1.6447,1.59388,1.16904,0,0.24701,0.19118,0.15177,0.0714,0.12206,0.13235,0.10171,0.03465,1.24525,2.01591,2.55609,1.20468,0,0.00106379,0.00106379,0.00106379
24,356.853,1.36686,1.79018,1.43707,1.1146,0,0.13578,0.17647,0.18228,0.08412,0.09913,0.13235,0.08988,0.03588,1.21396,2.14933,2.52104,1.18775,0,0.00109667,0.00109667,0.00109667
25,369.296,1.43406,1.68147,1.69747,1.1845,0,0.15357,0.25,0.1873,0.09742,0.13482,0.22059,0.12063,0.0423,1.32465,2.16884,2.56131,1.20231,0,0.00112835,0.00112835,0.00112835
26,381.886,1.40893,1.98999,1.57509,1.16347,0,0.15181,0.25,0.18525,0.09445,0.1422,0.23529,0.1487,0.05238,1.35191,1.96776,2.65355,1.24818,0,0.00115885,0.00115885,0.00115885
27,394.556,1.41344,1.85976,1.51195,1.13903,0,0.21123,0.33824,0.25531,0.11299,0.1674,0.27941,0.14622,0.05413,1.32247,1.88904,2.42126,1.22822,0,0.00118816,0.00118816,0.00118816
28,407.18,1.30912,1.64759,1.46615,1.12516,0,0.33711,0.22059,0.27901,0.12666,0.15494,0.27941,0.14807,0.04524,1.36335,2.09988,2.32821,1.24218,0,0.00121628,0.00121628,0.00121628
29,419.918,1.31793,1.63646,1.35005,1.12687,0,0.33711,0.22059,0.27901,0.12666,0.15494,0.27941,0.14807,0.04524,1.36335,2.09988,2.32821,1.24218,0,0.00124322,0.00124322,0.00124322
30,432.626,1.29292,1.74851,1.31173,1.08905,0,0.23592,0.51471,0.27814,0.13521,0.17923,0.41176,0.16653,0.06362,1.41771,1.86571,2.11192,1.22913,0,0.00126896,0.00126896,0.00126896
31,445.44,1.4059,1.87214,1.35829,1.14371,0,0.28478,0.69118,0.2904,0.14562,0.24276,0.60294,0.22412,0.0903,1.397,1.7377,1.95907,1.22546,0,0.00129352,0.00129352,0.00129352
32,457.953,1.45286,1.81894,1.68122,1.18037,0,0.20463,0.49187,0.21061,0.09484,0.1873,0.45588,0.18045,0.06484,1.53886,1.94209,2.16689,1.32083,0,0.00131689,0.00131689,0.00131689
33,470.485,1.42021,1.76374,1.6869,1.22057,0,0.20463,0.49187,0.21061,0.09484,0.1873,0.45588,0.18045,0.06484,1.53886,1.94209,2.16689,1.32083,0,0.00133907,0.00133907,0.00133907
34,483.137,1.28426,1.6306,1.664,1.08853,0,0.18189,0.38253,0.18965,0.08248,0.16416,0.35294,0.15407,0.05322,1.45948,1.91895,2.29706,1.2816,0,0.0013466,0.0013466,0.0013466
35,495.774,1.25543,1.89058,1.3635,1.08906,0,0.20059,0.47059,0.28846,0.13549,0.1898,0.52941,0.20634,0.0649,1.36513,1.8033,2.1337,1.24174,0,0.0013268,0.0013268,0.0013268
36,508.522,1.33292,1.74016,1.53865,1.14935,0,0.21823,0.5,0.32136,0.16971,0.20611,0.47343,0.24681,0.09068,1.32979,1.77635,2.05979,1.2279,0,0.001307,0.001307,0.001307
37,521.229,1.35209,1.68851,1.41783,1.11737,0,0.21823,0.5,0.32136,0.16971,0.20611,0.47343,0.24681,0.09068,1.32979,1.77635,2.05979,1.2279,0,0.0012872,0.0012872,0.0012872
38,533.645,1.3378,1.48987,1.43216,1.15057,0,0.19491,0.61765,0.30448,0.16303,0.18099,0.57353,0.21938,0.08543,1.30457,1.74429,2.17307,1.24192,0,0.0012674,0.0012674,0.0012674
39,546.135,1.34599,1.57676,1.52062,1.11285,0,0.22589,0.60294,0.31732,0.16517,0.21974,0.61765,0.24949,0.10021,1.30124,1.81183,2.0275,1.23677,0,0.0012476,0.0012476,0.0012476
40,558.645,1.22417,1.65452,1.44235,1.12326,0,0.30004,0.58824,0.37153,0.19261,0.28005,0.64706,0.27511,0.11155,1.35583,1.84925,1.85603,1.25166,0,0.0012278,0.0012278,0.0012278
41,570.864,1.50018,1.6494,1.62773,1.23861,0,0.30004,0.58824,0.37153,0.19261,0.28005,0.64706,0.27511,0.11155,1.35583,1.84925,1.85603,1.25166,0,0.001208,0.001208,0.001208
42,583.431,1.41422,1.62128,1.41185,1.13548,0,0.35936,0.64706,0.42491,0.21645,0.33034,0.60294,0.30396,0.13577,1.36759,1.89192,1.78243,1.2335,0,0.0011882,0.0011882,0.0011882
43,596.05,1.27027,1.63842,1.39798,1.06128,0,0.46274,0.66176,0.55473,0.28831,0.39857,0.57353,0.39754,0.18041,1.3205,1.79485,1.61202,1.19915,0,0.0011684,0.0011684,0.0011684
44,608.474,1.23,1.65425,1.43009,1.07532,0,0.46109,0.69118,0.55878,0.31564,0.36795,0.63235,0.40969,0.18906,1.2817,1.63469,1.5522,1.20126,0,0.0011486,0.0011486,0.0011486
45,620.935,1.40426,1.45481,1.35735,1.21101,0,0.46109,0.69118,0.55878,0.31564,0.36795,0.63235,0.40969,0.18906,1.2817,1.63469,1.5522,1.20126,0,0.0011288,0.0011288,0.0011288
46,633.376,1.20913,1.63756,1.35731,1.08104,0,0.41286,0.69118,0.52614,0.29617,0.38991,0.66176,0.38383,0.18698,1.28514,1.53742,1.59472,1.21426,0,0.001109,0.001109,0.001109
47,645.769,1.21549,1.57048,1.41898,1.082,0,0.38037,0.72059,0.44365,0.2563,0.32564,0.67647,0.36592,0.15994,1.24952,1.47145,1.64978,1.17974,0,0.0010892,0.0010892,0.0010892
48,658.221,1.28123,1.64648,1.24441,1.12915,0,0.37543,0.72059,0.42576,0.23997,0.34282,0.71345,0.36466,0.14765,1.24368,1.579,1.65049,1.16023,0,0.0010694,0.0010694,0.0010694
49,670.537,1.26227,1.60971,1.84229,1.0809,0,0.37543,0.72059,0.42576,0.23997,0.34282,0.71345,0.36466,0.14765,1.24368,1.579,1.65049,1.16023,0,0.0010496,0.0010496,0.0010496
50,682.879,1.15887,1.42294,1.27455,1.08306,0,0.39985,0.77941,0.47929,0.27423,0.3818,0.76471,0.40427,0.16853,1.22239,1.57795,1.65577,1.17713,0,0.0010298,0.0010298,0.0010298
51,695.491,1.35984,1.71415,1.32568,1.18778,0,0.52025,0.82929,0.54555,0.32178,0.49257,0.78517,0.53292,0.2191,1.20245,1.64589,1.5871,1.2068,0,0.00101,0.00101,0.00101
52,708.334,1.24677,1.47477,1.23796,1.08617,0,0.59711,0.75,0.72393,0.43619,0.5518,0.79664,0.63581,0.28704,1.21259,1.68353,1.4036,1.19688,0,0.0009902,0.0009902,0.0009902
53,721.004,1.31292,1.72219,1.381,1.08226,0,0.59711,0.75,0.72393,0.43619,0.5518,0.79664,0.63581,0.28704,1.21259,1.68353,1.4036,1.19688,0,0.0009704,0.0009704,0.0009704
54,733.38,1.21003,1.36645,1.26094,1.05685,0,0.69256,0.77941,0.80376,0.52623,0.70306,0.66176,0.75164,0.38133,1.24946,1.56197,1.29401,1.2145,0,0.0009506,0.0009506,0.0009506
55,745.944,1.25771,1.31127,1.31326,1.09369,0,0.75336,0.79412,0.79932,0.51747,0.6961,0.73529,0.72059,0.36974,1.18609,1.46622,1.33011,1.1852,0,0.0009308,0.0009308,0.0009308
56,758.752,1.17196,1.4716,1.18959,1.03629,0,0.6936,0.73529,0.72506,0.45101,0.63849,0.67647,0.64859,0.33138,1.18251,1.51371,1.40018,1.18553,0,0.000911,0.000911,0.000911
57,771.301,1.36913,1.16942,1.34724,1.18843,0,0.6936,0.73529,0.72506,0.45101,0.63849,0.67647,0.64859,0.33138,1.18251,1.51371,1.40018,1.18553,0,0.0008912,0.0008912,0.0008912
58,783.891,1.20762,1.31398,1.24743,1.06679,0,0.77126,0.74384,0.73608,0.46402,0.72443,0.65725,0.66692,0.32439,1.20109,1.52147,1.39121,1.18388,0,0.0008714,0.0008714,0.0008714
59,796.287,1.18298,1.41673,1.34922,1.07278,0,0.75193,0.66869,0.75773,0.48281,0.73009,0.67625,0.71987,0.34278,1.21136,1.50937,1.33985,1.17572,0,0.0008516,0.0008516,0.0008516
60,808.925,1.26938,1.63201,1.42403,1.10487,0,0.62573,0.75,0.68423,0.43173,0.65969,0.64706,0.67345,0.29609,1.2209,1.52976,1.39671,1.17416,0,0.0008318,0.0008318,0.0008318
61,821.608,1.14216,1.40748,1.27998,1.06347,0,0.62573,0.75,0.68423,0.43173,0.65969,0.64706,0.67345,0.29609,1.2209,1.52976,1.39671,1.17416,0,0.000812,0.000812,0.000812
62,834.139,1.15866,1.41934,1.28577,1.0706,0,0.64552,0.70588,0.63645,0.38883,0.61715,0.66176,0.5882,0.25939,1.2134,1.59146,1.44494,1.18012,0,0.0007922,0.0007922,0.0007922
63,846.781,1.10134,1.38696,1.07462,1.0455,0,0.62015,0.70588,0.60051,0.37921,0.58086,0.66176,0.55998,0.25044,1.1881,1.49105,1.47351,1.17249,0,0.0007724,0.0007724,0.0007724
64,859.185,1.17069,1.39413,1.26891,1.07697,0,0.62147,0.67647,0.58903,0.39655,0.59047,0.64706,0.57383,0.25863,1.15797,1.47653,1.55623,1.14817,0,0.0007526,0.0007526,0.0007526
65,871.484,1.2129,1.46675,1.24329,1.07808,0,0.62147,0.67647,0.58903,0.39655,0.59047,0.64706,0.57383,0.25863,1.15797,1.47653,1.55623,1.14817,0,0.0007328,0.0007328,0.0007328
66,883.907,1.11817,1.26335,1.23186,1.0783,0,0.67475,0.57972,0.59116,0.40272,0.64051,0.55031,0.57967,0.2533,1.13905,1.50898,1.60103,1.12625,0,0.000713,0.000713,0.000713
67,896.553,1.20019,1.42423,1.23559,1.1037,0,0.56437,0.63235,0.61443,0.42165,0.71345,0.51471,0.61773,0.27577,1.13797,1.45677,1.54148,1.10945,0,0.0006932,0.0006932,0.0006932
68,909.022,1.00348,1.19511,1.14564,1.01596,0,0.71916,0.56494,0.67316,0.45468,0.56238,0.67647,0.65055,0.32869,1.12839,1.33678,1.40808,1.10592,0,0.0006734,0.0006734,0.0006734
69,921.628,1.06483,1.2612,1.04962,1.0581,0,0.71916,0.56494,0.67316,0.45468,0.56238,0.67647,0.65055,0.32869,1.12839,1.33678,1.40808,1.10592,0,0.0006536,0.0006536,0.0006536
70,934.235,1.08456,1.35732,1.06422,1.05475,0,0.63358,0.66113,0.69201,0.47898,0.63358,0.66113,0.69737,0.33919,1.13622,1.34515,1.38826,1.1299,0,0.0006338,0.0006338,0.0006338
71,946.654,1.25687,1.52438,1.12501,1.15855,0,0.6556,0.69118,0.7061,0.48548,0.62628,0.66176,0.68901,0.34453,1.12439,1.33274,1.42037,1.14447,0,0.000614,0.000614,0.000614
72,959.191,1.12941,1.35375,1.22811,1.03586,0,0.69732,0.69118,0.71965,0.47131,0.6469,0.69118,0.69885,0.33956,1.11933,1.34845,1.43176,1.1326,0,0.0005942,0.0005942,0.0005942
73,971.635,1.11592,1.35474,1.12704,1.0898,0,0.69732,0.69118,0.71965,0.47131,0.6469,0.69118,0.69885,0.33956,1.11933,1.34845,1.43176,1.1326,0,0.0005744,0.0005744,0.0005744
74,984.169,1.14504,1.29538,1.08992,1.04106,0,0.7062,0.66176,0.72626,0.45616,0.65912,0.61765,0.68432,0.34168,1.11888,1.37591,1.4793,1.12033,0,0.0005546,0.0005546,0.0005546
75,997.802,1.01287,1.29323,1.02205,1.00771,0,0.76071,0.70129,0.7201,0.454,0.69856,0.66176,0.67347,0.3236,1.1189,1.37072,1.52829,1.12579,0,0.0005348,0.0005348,0.0005348
76,1011.41,1.01011,1.3742,0.96825,0.98978,0,0.75195,0.72059,0.7105,0.48884,0.65501,0.70588,0.7038,0.36089,1.14872,1.35621,1.5314,1.13642,0,0.000515,0.000515,0.000515
77,1024.6,1.08366,1.30676,1.196,1.04321,0,0.75195,0.72059,0.7105,0.48884,0.65501,0.70588,0.7038,0.36089,1.14872,1.35621,1.5314,1.13642,0,0.0004952,0.0004952,0.0004952
78,1037.87,1.06492,1.18355,1.14819,1.06297,0,0.74326,0.73529,0.76162,0.53465,0.75595,0.77941,0.7759,0.41906,1.14713,1.29647,1.40743,1.13286,0,0.0004754,0.0004754,0.0004754
79,1051.07,0.98532,1.39168,1.23406,1.0022,0,0.74566,0.72059,0.80084,0.57006,0.73044,0.70588,0.79169,0.4271,1.12531,1.22389,1.31023,1.12413,0,0.0004556,0.0004556,0.0004556
80,1064.45,1.05205,1.1951,1.19856,1.01281,0,0.72878,0.79033,0.81442,0.58568,0.70446,0.77121,0.79608,0.42993,1.09515,1.23247,1.28758,1.1022,0,0.0004358,0.0004358,0.0004358
81,1077.89,0.99468,1.31626,1.09685,0.99599,0,0.72878,0.79033,0.81442,0.58568,0.70446,0.77121,0.79608,0.42993,1.09515,1.23247,1.28758,1.1022,0,0.000416,0.000416,0.000416
82,1091.38,0.96692,1.1621,0.89129,0.98304,0,0.70459,0.79412,0.77346,0.55894,0.68325,0.79412,0.75971,0.39419,1.12431,1.23794,1.29553,1.10224,0,0.0003962,0.0003962,0.0003962
83,1104.89,0.98633,1.24759,0.93197,0.99962,0,0.70785,0.80882,0.76474,0.54261,0.67733,0.74092,0.7377,0.37799,1.16034,1.23355,1.33056,1.12366,0,0.0003764,0.0003764,0.0003764
84,1117.62,1.28508,1.38691,1.41909,1.1826,0,0.71265,0.7295,0.70435,0.4927,0.66955,0.68538,0.67867,0.343,1.15744,1.27515,1.53324,1.12297,0,0.0003566,0.0003566,0.0003566
85,1130.51,0.94874,1.24913,0.99595,0.98615,0,0.71265,0.7295,0.70435,0.4927,0.66955,0.68538,0.67867,0.343,1.15744,1.27515,1.53324,1.12297,0,0.0003368,0.0003368,0.0003368
86,1143.34,1.02604,1.23395,0.9609,0.98462,0,0.68285,0.66496,0.69249,0.45822,0.65155,0.63246,0.64089,0.32643,1.13831,1.31084,1.77955,1.1218,0,0.000317,0.000317,0.000317
87,1156.09,1.02595,1.13733,1.10427,1.07238,0,0.76586,0.62538,0.70231,0.43495,0.73099,0.59945,0.65742,0.31209,1.14003,1.32094,1.89578,1.12831,0,0.0002972,0.0002972,0.0002972
88,1169.02,1.1196,1.20182,1.06622,1.05838,0,0.79341,0.62133,0.727,0.46185,0.69704,0.66176,0.67723,0.35242,1.13186,1.31651,1.77733,1.12826,0,0.0002774,0.0002774,0.0002774
89,1181.79,0.90051,1.23466,0.97301,0.95875,0,0.79341,0.62133,0.727,0.46185,0.69704,0.66176,0.67723,0.35242,1.13186,1.31651,1.77733,1.12826,0,0.0002576,0.0002576,0.0002576
90,1194.29,1.13046,1.11726,1.0628,1.07862,0,0.80003,0.69118,0.75627,0.49247,0.73849,0.70597,0.70175,0.37879,1.11853,1.29024,1.65527,1.11861,0,0.0002378,0.0002378,0.0002378
91,1206.77,0.94272,0.9135,1.11487,1.00512,0,0.82899,0.71293,0.78376,0.5244,0.77293,0.67647,0.74646,0.40446,1.10904,1.29832,1.52466,1.11487,0,0.000218,0.000218,0.000218
92,1218.92,0.96881,1.06091,1.14331,0.97777,0,0.82268,0.70588,0.78919,0.55,0.75685,0.68667,0.77251,0.41297,1.08953,1.30053,1.42502,1.10971,0,0.0001982,0.0001982,0.0001982
93,1231.15,1.05048,1.04888,1.62631,1.06788,0,0.82268,0.70588,0.78919,0.55,0.75685,0.68667,0.77251,0.41297,1.08953,1.30053,1.42502,1.10971,0,0.0001784,0.0001784,0.0001784
94,1243.33,0.96318,1.06045,1.09186,0.99749,0,0.80094,0.71011,0.76817,0.5612,0.78474,0.69701,0.77313,0.42023,1.06179,1.29702,1.35568,1.10082,0,0.0001586,0.0001586,0.0001586
95,1255.58,0.97053,1.00475,1.08505,0.99656,0,0.804,0.72394,0.78273,0.5694,0.804,0.72394,0.79207,0.42303,1.04265,1.27453,1.31969,1.08863,0,0.0001388,0.0001388,0.0001388
96,1267.67,0.89625,1.01141,1.15251,0.98912,0,0.83033,0.71967,0.79068,0.58174,0.81344,0.70534,0.7885,0.4273,1.03696,1.27327,1.30353,1.08198,0,0.000119,0.000119,0.000119
97,1279.76,0.98722,1.10111,1.08757,0.99176,0,0.83033,0.71967,0.79068,0.58174,0.81344,0.70534,0.7885,0.4273,1.03696,1.27327,1.30353,1.08198,0,9.92e-05,9.92e-05,9.92e-05
98,1292.25,0.91117,1.03371,1.04629,1.02746,0,0.83002,0.73529,0.79581,0.58819,0.81254,0.72059,0.79312,0.43337,1.04606,1.25096,1.28043,1.08376,0,7.94e-05,7.94e-05,7.94e-05
99,1304.72,1.12181,1.23449,1.32765,1.09159,0,0.82308,0.73529,0.7997,0.59562,0.80662,0.72059,0.79768,0.45057,1.04221,1.21934,1.25685,1.08191,0,5.96e-05,5.96e-05,5.96e-05
100,1317.77,0.90332,0.95923,0.98422,1.00372,0,0.80912,0.73529,0.80481,0.60235,0.79294,0.72059,0.80314,0.45284,1.04589,1.20898,1.25113,1.08221,0,3.98e-05,3.98e-05,3.98e-05
